model,component,head_index,sample_size,family,ks_distance,log_likelihood,fit_gap,best_fit
distilgpt2,S_positive,9,64,generalized_gamma,0.1708484412662371,-114.3813444502531,3.9201140876506315,False
distilgpt2,S_positive,9,64,lognormal,0.15543251640738687,-110.46123036260246,0.0,True
distilgpt2,S_positive,10,64,generalized_gamma,0.06987958518455883,-152.7811632592816,0.0,True
distilgpt2,S_positive,10,64,lognormal,0.0824953349803943,-155.50397429808504,2.722811038803428,False
distilgpt2,S_positive,11,64,generalized_gamma,0.06900857416600603,-168.9674648918916,0.0,True
distilgpt2,S_positive,11,64,lognormal,0.0891095626101856,-169.71087944909013,0.7434145571985198,False
distilgpt2,S_positive,12,64,generalized_gamma,0.050726593298809686,-166.8059606128587,0.0,True
distilgpt2,S_positive,12,64,lognormal,0.036907328204033085,-167.60076619599045,0.7948055831317333,False
distilgpt2,S_positive,13,64,generalized_gamma,0.04554752285632202,-218.6700807848501,0.0,True
distilgpt2,S_positive,13,64,lognormal,0.03875378636310933,-218.7332976613286,0.06321687647852059,False
distilgpt2,S_positive,14,64,generalized_gamma,0.07445819101206369,-213.59772413200974,1.1966295405423466,False
distilgpt2,S_positive,14,64,lognormal,0.06554835151411142,-212.4010945914674,0.0,True
distilgpt2,S_positive,15,64,generalized_gamma,0.08169353970596976,-185.14121539977208,1.4451822061982966,False
distilgpt2,S_positive,15,64,lognormal,0.0711701683593009,-183.69603319357378,0.0,True
distilgpt2,S_positive,16,64,generalized_gamma,0.05780741033092218,-201.54636158403196,0.0,True
distilgpt2,S_positive,16,64,lognormal,0.06392462318507841,-201.72172448797923,0.17536290394727416,False
distilgpt2,S_positive,17,64,generalized_gamma,0.07125053023209205,-175.03108437571638,1.3082047140210022,False
distilgpt2,S_positive,17,64,lognormal,0.06825814125160024,-173.72287966169537,0.0,True
distilgpt2,S_positive,18,64,generalized_gamma,0.06093824455360153,-173.72135093807003,0.0,True
distilgpt2,S_positive,18,64,lognormal,0.10878129930782121,-178.66760916209816,4.946258224028128,False
distilgpt2,S_positive,19,64,generalized_gamma,0.11045465218491113,-104.71955536871795,0.0,True
distilgpt2,S_positive,19,64,lognormal,0.16995874783715897,-110.85559552294302,6.136040154225071,False
distilgpt2,S_positive,20,64,generalized_gamma,0.06075811387641972,-188.83282178923378,1.3992453628105181,False
distilgpt2,S_positive,20,64,lognormal,0.04739249182024308,-187.43357642642326,0.0,True
distilgpt2,S_positive,21,64,generalized_gamma,0.12953094661449954,-164.4087023124859,2.043405826271936,False
distilgpt2,S_positive,21,64,lognormal,0.1111407393953539,-162.36529648621396,0.0,True
distilgpt2,S_positive,22,64,generalized_gamma,0.059517751928152784,-144.08779635724312,0.4741508648039314,False
distilgpt2,S_positive,22,64,lognormal,0.052632061275918796,-143.6136454924392,0.0,True
distilgpt2,S_positive,23,64,generalized_gamma,0.09552882035871957,-110.45541348891172,0.0,True
distilgpt2,S_positive,23,64,lognormal,0.15644775066819583,-115.16953555030756,4.714122061395841,False
distilgpt2,S_positive,24,64,generalized_gamma,0.07167286796050931,-191.2443436964471,0.8324756214960018,False
distilgpt2,S_positive,24,64,lognormal,0.061074462020287434,-190.4118680749511,0.0,True
distilgpt2,S_positive,25,64,generalized_gamma,0.05860708109027535,-174.79147770550873,0.6431515424282566,False
