model,layer,head,mu,nu,tau,k_plus,k_minus,k_T,mode_ratio,shape_ratio,sigma_lambda_correlation,geometric_mean_error
distilgpt2,5,3,-3.5046915741903337,1.9842662559678819,2.761153069266417,2.9973404968259745,3.719397875564083,4.044021110274287,1.047045627428124,1.211181012753122,0.9754476086106865,0.14422579051440002
distilgpt2,5,4,-2.21349400745405,3.274789608139524,2.739071804572228,5.888016823365923,4.3448758058155015,5.670510520772866,1.0173550386002377,1.121111883259369,0.9934293415663992,0.04345733886596582
distilgpt2,5,5,-2.7991755957119073,4.104244650671784,3.460680019678789,8.437603568859043,5.329177584281312,8.225588801454812,1.0210094307946185,1.2266688605128695,0.9951016088104343,0.05493467052418803
distilgpt2,5,6,-2.620314143794991,3.268076799283676,2.9420233198824213,6.356898602932114,6.174911743818549,6.600317080580975,1.0053639384129076,1.0534811767443422,0.9954553788662529,0.03731440098226965
distilgpt2,5,7,-2.6056997006420333,3.987864271609139,3.3203652937744645,8.133766453653587,4.5072284554654205,7.721114459779863,1.0300386000788615,1.2752030879713765,0.9943578339761042,0.0743736212835493
distilgpt2,5,8,-3.0320156094371544,2.8997380356653006,3.00887492172714,3.2943168765167155,3.9390043951323532,3.822026432051586,1.0147499429741407,1.0610058242933031,0.9943748480866947,0.0755881464062897
distilgpt2,5,9,-2.8154629267890066,4.32898700147219,3.5552250895657873,8.331893077771682,4.883961754236159,7.343193418414084,1.0183546591777852,1.1511369551710104,0.9962922110537725,0.05114517220791157
distilgpt2,5,10,-3.6557802743518715,3.9751124107390585,3.7390545044726595,7.23508149190427,6.118365870145081,5.561163962585878,0.9808374648429921,0.8358459921824941,0.9871546055321548,0.05287144957331395
distilgpt2,5,11,-3.0636008181054075,3.324919031704201,3.266287067824977,4.842911032354474,4.019093801368746,5.086280261574255,1.023405451534663,1.1528769871442852,0.9860833621555442,0.0964280027905068
gpt2,0,0,-20.536103299780937,16.1252055587771,18.311746365962456,6.319554980809895,5.892516211572723,6.469773187269576,1.006278316292124,1.0602185887715057,0.9950707482836774,0.038356357110621554
