model,layer,head,kv_head,dim,symmetric_energy,balance,pairing,rho,pairing_bound,pairing_gap,lobe_departure,n_pos,n_neg,n_zero,a,b,c,d,b_sym,c_sym,d_sym,trace_ratio
distilgpt2,5,0,0,128,0.5072014329845658,1.0,0.9468748469516163,0.981405463779647,0.9867288710443499,0.03985402409273364,0.07275472704722473,64,64,0,0.49279856701543423,0.50576996756749,0.0011065908018380542,0.00032487461523760653,0.9971777181135857,0.0021817580351192107,0.0006405238512949795,0.16360003169586865
distilgpt2,5,1,1,128,0.5264658888772838,1.0,0.8676576466484572,0.8368499469691836,0.8748813170087446,0.007223670360287371,0.06147180630808051,64,64,0,0.47353411112271626,0.5172451028611773,0.009220786016106526,0.0,0.9824855015093754,0.0175144984906246,0.0,0.756548456212146
distilgpt2,5,2,2,128,0.5105848177959206,1.0,0.9038387753987036,0.88376904212089,0.9129068418620062,0.009068066463302604,0.057869924795403684,64,64,0,0.4894151822040794,0.5058634496272262,0.004721368168694359,0.0,0.990753018883179,0.009246981116820983,0.0,0.5076545191941851
distilgpt2,5,3,3,128,0.5578469629079674,1.0,0.6955691396355544,1.5126916344014893,0.7172681450564655,0.021699005420911077,0.16641996842785867,64,64,0,0.44215303709203263,0.5061467391041778,2.8438395138735013e-05,0.0516717854086508,0.9073218512577632,5.097884729978663e-05,0.09262716989493677,1.725149607143219
distilgpt2,5,4,4,128,0.5210245493016102,1.0,0.7960165565050055,0.7682885380818419,0.8162563006333623,0.02023974412835683,0.1274496055482536,64,64,0,0.47897545069838976,0.49934511106404017,0.02167943823757008,0.0,0.9583907547799244,0.04160924522007562,0.0,1.134295081273455
distilgpt2,5,5,5,128,0.5246525589756796,1.0,0.7958943228803668,0.7730282171963496,0.8204267826056554,0.024532459725288613,0.13947203379691708,64,64,0,0.4753474410243206,0.5027959911635435,0.02178362855664035,7.293925549580966e-05,0.9583408725675361,0.04152010351225626,0.00013902392020771745,1.130670051922869
distilgpt2,5,6,6,128,0.5113403369345865,1.0,0.84820295862268,0.8123313091768053,0.8543356764799528,0.0061327178572727625,0.06105395575052358,64,64,0,0.48865966306541364,0.49955785812968845,0.01178247880489789,0.0,0.9769576582290921,0.0230423417709078,0.0,0.7996810922896088
distilgpt2,5,7,7,128,0.5301628374853907,1.0,0.7977442395545669,0.7739700598892403,0.8212534323418741,0.02350919278730723,0.13603443333415588,64,64,0,0.4698371625146095,0.5084752581327593,0.02168757935263133,0.0,0.9590926073666395,0.04090739263336042,0.0,1.1492754066433077
distilgpt2,5,8,8,128,0.520245393204607,1.0,0.9191844717832159,0.9774983532169768,0.9839089250973619,0.064724453314146,0.11201652870816668,64,64,0,0.479754606795393,0.5168475927123787,0.0018890282630886583,0.0015087722291397573,0.9934688503990422,0.003631033138905131,0.0029001164620526933,0.08668929431779195
distilgpt2,5,9,9,128,0.5235741435200135,1.0,0.7803476435975096,0.7554687232958388,0.8048883361681569,0.024540692570647282,0.1454745034580589,64,64,0,0.47642585647998675,0.49831317926401036,0.025131021221731286,0.00012994303427197153,0.9517528423268337,0.04799897308292241,0.0002481845902441981,1.2281206589377864
distilgpt2,5,10,10,128,0.49800409349604935,1.0,0.940170863186036,0.9636586113553749,0.9738316603803722,0.03366079719433612,0.0761147454850146,64,64,0,0.5019959065039505,0.4962214750885473,0.0011751471363927292,0.0006074712711094197,0.9964204743880961,0.002359713809063402,0.00121981180284061,0.20321371039593492
distilgpt2,5,11,11,128,0.5218610568698998,1.0,0.9453812455317964,0.9994284003190775,0.9995957024578391,0.054214456926042764,0.07724047346765144,64,64,0,0.4781389431301002,0.5203042366129029,0.0005449773167997575,0.0010118429401972228,0.9970167916603422,0.0010442958132735713,0.001938912526384347,0.09985980813319022
gpt2,0,0,0,128,0.5141723268397794,1.0,0.8226273515956559,1.277707633903607,0.8288406640055955,0.006213312409939609,0.06679660588376621,64,64,0,0.48582767316022046,0.4979959222647406,7.64435969188307e-05,0.016099960978120175,0.9685389435980292,0.00014867310613286117,0.03131238329583821,0.9610910854201742
gpt2,0,1,1,128,0.8151799862421664,1.0,0.15224451781129533,0.1745353257974408,0.18682806842187738,0.03458355061058205,0.5823506418311948,64,64,0,0.18482001375783372,0.22931880561689288,0.5858611806252735,0.0,0.2813106424189969,0.7186893575810032,0.0,5.924903162498115
gpt2,0,2,2,128,0.5173397728157335,1.0,0.854469671894938,1.2248138826114476,0.8578200232039424,0.003350351309004296,0.0443580575265303,64,64,0,0.48266022718426643,0.5063829942433553,5.6051139298558456e-05,0.010900727433079682,0.978820923601633,0.00010834492579893483,0.02107073147256805,0.7269140924785146
gpt2,0,3,3,128,0.5021403650319157,1.0,0.370052047793035,0.34055316970431326,0.3757590312003658,0.005706983407330779,0.15315100065907275,64,64,0,0.49785963496808433,0.3028737832656838,0.19926658176623185,0.0,0.6031655775102512,0.39683442248974865,0.0,3.201490571043087
gpt2,0,4,4,128,0.48672281144717094,1.0,0.4746549619948426,0.44198737066277644,0.4896172704384555,0.014962308443612904,0.20472234126483746,64,64,0,0.513277188552829,0.3523934438357749,0.13432936761139608,0.0,0.7240125910433598,0.27598740895664026,0.0,2.557386005799429
gpt2,0,5,5,128,0.9223895140956908,1.0,0.05620283191408448,0.09131143190940023,0.09507612789343867,0.03887329597935418,0.8908443236503041,64,64,0,0.07761048590430919,0.10076820009259971,0.8216213140030912,0.0,0.10924690551300628,0.8907530944869938,0.0,7.014624926648862
gpt2,0,6,6,128,0.5208692102564149,1.0,0.8686879290216963,1.1128181312402543,0.9245926764211198,0.055904747399423416,0.15246432498733678,64,64,0,0.47913078974358514,0.5118879353936685,0.001276275013766794,0.007704999848979509,0.9827571400153888,0.0024502792421508385,0.014792580742460227,0.5748601458148919
gpt2,0,7,7,128,0.46362939577524226,1.0,0.6150469980421565,1.116150354812662,0.9224939127578049,0.30744691471564844,0.5348661411922452,64,64,0,0.5363706042247577,0.3949247056112786,0.0346669457340938,0.03403774442987002,0.8518111862836449,0.07477296748219908,0.0734158462341564,1.0639387051591827
gpt2,0,8,8,128,0.5228331266811131,1.0,0.8386193830761735,1.2324182552185856,0.8535569809067739,0.014937597830600446,0.09694242172085091,64,64,0,0.4771668733188869,0.5092166157400674,8.762258915072385e-05,0.013528888351894865,0.9739562964812849,0.00016759188482746371,0.02587611163388738,0.8674422954246711
gpt2,0,9,9,128,0.7694487618900191,1.0,0.2529831037306608,2.8213106911305865,0.3915358093525073,0.13855270562184652,0.7722853420600277,64,64,0,0.23055123810998085,0.3400700042814619,0.0006794603000145556,0.4286992973085427,0.44196575668812327,0.0008830481426022153,0.5571511951692746,4.856991859287566
gpt2,0,10,10,128,0.817289789986768,1.0,0.08853934697596899,0.12897172101757548,0.13612679581884246,0.04758744884287347,0.8160583889561188,64,64,0,0.18271021001323223,0.13831769742310562,0.6789720925636623,0.0,0.16923947798900682,0.830760522010993,0.0,6.549458214839724
gpt2,0,11,11,128,0.5000983502741612,1.0,0.912369249767935,1.0416833710478672,0.9711331797444711,0.05876392997653612,0.11706036423477978,64,64,0,0.4999016497258388,0.49625802083469484,0.0008403806749673761,0.00299994876449901,0.9923208516137657,0.0016804308082733472,0.005998717577961205,0.07385093125542208
gpt2,1,0,0,128,0.588621530023285,1.0,0.5700476495251421,1.6235487955962888,0.6729878860424443,0.10294023651730222,0.4177382639927816,64,64,0,0.41137846997671507,0.4798095286668267,0.003662224920765369,0.105149776435693,0.815140976321145,0.00622169719245658,0.17863732648639855,2.339772960853081
gpt2,1,1,1,128,0.5411705595506495,1.0,0.5865652510443076,1.3180274864894543,0.8077742020504535,0.2212089510061459,0.5274809032027297,64,64,0,0.4588294404493504,0.4486692003185988,0.005509986337109398,0.08699137289494122,0.8290717083559433,0.010181607701802013,0.1607466839422544,1.9733015294002156
gpt2,1,2,2,128,0.5095843125022433,1.0,0.8848435025441126,0.9808748721469263,0.98634656078431,0.10150305824019745,0.16172223272447275,64,64,0,0.49041568749775644,0.5028267052997933,0.0033565481793655116,0.003401059023084599,0.9867389810936924,0.006586835773816594,0.006674183132491203,0.13694120878232693
gpt2,1,3,3,128,0.5034795705400432,1.0,0.741396372864404,0.8093097857023529,0.851771495731663,0.11037512286725903,0.30302782432124925,64,64,0,0.4965204294599568,0.4698089533675256,0.028134027711539604,0.005536589460977499,0.9331241640323127,0.05587918429612234,0.010996651671564016,0.15086223632628926
gpt2,1,4,4,128,0.5149874583824574,1.0,0.6278198400789622,0.6928734638710812,0.7475498226406756,0.11972998256171341,0.39969405941431774,64,64,0,0.4850125416175427,0.4436523888321243,0.06697089030258083,0.004364179247751836,0.8614819285611499,0.13004373060449298,0.008474340834356322,0.05463681354409334
gpt2,1,5,5,128,0.5955791227231246,1.0,0.9010073597378189,1.1140673156669783,0.9238050570544896,0.022797697316670695,0.08963477012032602,64,64,0,0.4044208772768753,0.5897427196036819,0.0,0.0058364031194429854,0.9902004571739226,0.0,0.009799542826077598,0.49452400687206105
gpt2,1,6,6,128,0.5436730678645582,1.0,0.7656648910758052,1.4008177256732748,0.7671195073605613,0.0014546162847561828,0.03791018335489809,64,64,0,0.45632693213544195,0.5138183795290305,8.853683966709388e-09,0.029854679481843654,0.9450870567254857,1.6284941245084905e-08,0.05491292698957301,1.2915951444106955
